19:27:28  [main] 	Initializing Control Panel
19:27:28  [main] 	Windows Version:  Home  64-bit
19:27:28  [main] 	XAMPP Version: 8.1.1
19:27:28  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
19:27:28  [main] 	You are not running with administrator rights! This will work for
19:27:28  [main] 	most application stuff but whenever you do something with services
19:27:28  [main] 	there will be a security dialogue or things will break! So think 
19:27:28  [main] 	about running this application with administrator rights!
19:27:28  [main] 	XAMPP Installation Directory: "c:\ynov\b2 c#\projets\p2\b2_projet_cs_jaremczuk_michel_cocco\xampp\"
19:27:28  [main] 	WARNING: Your install directory contains spaces.  This may break programs/scripts
19:27:28  [main] 	WARNING: Your install directory contains special characters.  This may break programs/scripts
19:27:28  [main] 	Checking for prerequisites
19:27:28  [main] 	All prerequisites found
19:27:28  [main] 	Initializing Modules
19:27:28  [main] 	Starting Check-Timer
19:27:28  [main] 	Control Panel Ready
19:28:40  [main] 	Deinitializing Modules
19:28:40  [main] 	Deinitializing Control Panel

